lake sex size food count
1 1 1 1 1
1 1 1 2 0
1 1 1 3 0
1 1 1 4 5
1 1 1 5 7
1 1 2 1 0
1 1 2 2 0
1 1 2 3 1
1 1 2 4 2
1 1 2 5 4
1 2 1 1 3
1 2 1 2 2
1 2 1 3 2
1 2 1 4 3
1 2 1 5 16
1 2 2 1 0
1 2 2 2 1
1 2 2 3 2
1 2 2 4 3
1 2 2 5 3
2 1 1 1 2
2 1 1 2 0
2 1 1 3 0
2 1 1 4 1
2 1 1 5 2
2 1 2 1 7
2 1 2 2 6
2 1 2 3 0
2 1 2 4 0
2 1 2 5 13
2 2 1 1 9
2 2 1 2 1
2 2 1 3 0
2 2 1 4 2
2 2 1 5 3
2 2 2 1 1
2 2 2 2 0
2 2 2 3 1
2 2 2 4 0
2 2 2 5 0
3 1 1 1 7
3 1 1 2 1
3 1 1 3 0
3 1 1 4 1
3 1 1 5 3
3 1 2 1 6
3 1 2 2 6
3 1 2 3 3
3 1 2 4 5
3 1 2 5 8
3 2 1 1 4
3 2 1 2 1
3 2 1 3 1
3 2 1 4 4
3 2 1 5 2
3 2 2 1 1
3 2 2 2 0
3 2 2 3 0
3 2 2 4 0
3 2 2 5 0
4 1 1 1 10
4 1 1 2 0
4 1 1 3 2
4 1 1 4 2
4 1 1 5 13
4 1 2 1 0
4 1 2 2 0
4 1 2 3 1
4 1 2 4 2
4 1 2 5 9
4 2 1 1 9
4 2 1 2 1
4 2 1 3 0
4 2 1 4 1
4 2 1 5 3
4 2 2 1 1
4 2 2 2 0
4 2 2 3 0
4 2 2 4 1
4 2 2 5 8
